날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1908-06-20,108,20.3,16.8,25.8
1909-06-20,108,21.4,17.5,27
1910-06-20,108,17.9,15,22.5
1911-06-20,108,21.2,16.7,27.5
1912-06-20,108,20.2,17.4,24
1913-06-20,108,20.6,16.3,27.1
1914-06-20,108,24.2,16.8,32.7
1915-06-20,108,19.7,16.5,23.7
1916-06-20,108,21,18,26
1917-06-20,108,20.7,16,28.1
1918-06-20,108,23.4,16.6,31.5
1919-06-20,108,22,17.4,28.2
1920-06-20,108,21.2,18.7,26.1
1921-06-20,108,20.5,14.1,27.1
1922-06-20,108,25.1,15.2,34.5
1923-06-20,108,23.8,15.8,31.4
1924-06-20,108,22.5,13.7,32
1925-06-20,108,22.1,16.6,26.4
1926-06-20,108,23,15.2,30.6
1927-06-20,108,22,15.5,29.6
1928-06-20,108,20.3,13.6,27.9
1929-06-20,108,22.1,15,29.8
1930-06-20,108,20.9,15.6,27.2
1931-06-20,108,24.9,21,32
1932-06-20,108,23.1,20.2,26.6
1933-06-20,108,24.1,18.9,30.4
1934-06-20,108,23.6,18.2,30.7
1935-06-20,108,21.5,17.3,26
1936-06-20,108,18.2,15.8,22.4
1937-06-20,108,23.5,18,31.3
1938-06-20,108,19,14.8,25.7
1939-06-20,108,23.1,19.4,29.6
1940-06-20,108,24,17.1,32.4
1941-06-20,108,20,17.3,24.6
1942-06-20,108,26.2,19.8,34.6
1943-06-20,108,20.7,16.8,27.8
1944-06-20,108,25.5,18.3,34.3
1945-06-20,108,22.7,16.7,31.4
1946-06-20,108,20.9,20.3,23
1947-06-20,108,19.4,16.3,24
1948-06-20,108,22.7,18.5,29.3
1949-06-20,108,24,16.4,36
1950-06-20,108,18,16.2,19.9
1952-06-20,108,,,
1953-06-20,108,,,
1954-06-20,108,20.1,16.6,26.7
1955-06-20,108,20.9,19.1,26.1
1956-06-20,108,19,16.9,21.8
1957-06-20,108,19.9,18.4,22.8
1958-06-20,108,23.5,19.7,29.2
1959-06-20,108,20,16.5,25.4
1960-06-20,108,21.5,16.7,26.4
1961-06-20,108,18.7,17.6,20.6
1962-06-20,108,21.3,15.8,25.7
1963-06-20,108,21.5,18.3,27.2
1964-06-20,108,20.2,18,23.3
1965-06-20,108,23,17.3,30.9
1966-06-20,108,21.4,15.8,27.1
1967-06-20,108,20.1,18.6,25.5
1968-06-20,108,19.4,16,24.3
1969-06-20,108,20.6,15.5,27.5
1970-06-20,108,18,15.7,21.4
1971-06-20,108,22.9,18.8,28.3
1972-06-20,108,18.9,16.6,21.4
1973-06-20,108,21.6,18.4,27.8
1974-06-20,108,18.5,17.3,20.3
1975-06-20,108,25.8,19.4,32.4
1976-06-20,108,23.4,19.6,27.4
1977-06-20,108,22.2,17.7,27.3
1978-06-20,108,23.6,20.8,28.6
1979-06-20,108,19.2,17.9,20.1
1980-06-20,108,20.8,18.1,26.1
1981-06-20,108,24.3,21,28.8
1982-06-20,108,23,18.9,27.8
1983-06-20,108,20.8,18.2,24.6
1984-06-20,108,22.3,17.3,27.6
1985-06-20,108,24.2,19.9,29.7
1986-06-20,108,21.2,16.4,26.5
1987-06-20,108,19.8,18.2,22.7
1988-06-20,108,22,18.7,26.5
1989-06-20,108,19.7,15.1,25.2
1990-06-20,108,20.8,19.1,23
1991-06-20,108,21.4,18.5,25
1992-06-20,108,21.2,14.7,27.3
1993-06-20,108,20.1,17.9,25.7
1994-06-20,108,20.5,13.4,29.3
1995-06-20,108,22.9,17.9,27.6
1996-06-20,108,20.8,19.6,23.6
1997-06-20,108,23.8,20.7,26.3
1998-06-20,108,24,18.7,29.7
1999-06-20,108,21.7,17.7,26.8
2000-06-20,108,26.1,20.4,32.4
2001-06-20,108,23.3,18.7,29.3
2002-06-20,108,22.2,19.2,26.1
2003-06-20,108,21.9,18.9,25.5
2004-06-20,108,21.8,19.2,23.5
2005-06-20,108,23.6,19,29.5
2006-06-20,108,22.5,19.8,26.2
2007-06-20,108,24.2,21.5,28.6
2008-06-20,108,24.3,18.5,29.6
2009-06-20,108,22.7,22,24.7
2010-06-20,108,23,20.8,27
2011-06-20,108,26.6,22.7,32
2012-06-20,108,25.4,21.3,31.3
2013-06-20,108,25.8,20.9,31.1
2014-06-20,108,24.2,20.7,28.6
2015-06-20,108,19.6,17,22.6
2016-06-20,108,24.7,19.6,30.7
2017-06-20,108,26,20,32.7
